CustomerID,Recency,Frequency,Monetary,Tenure,AOV,R_Score,F_Score,M_Score,RFM_Score,KMeans_Cluster,Agg_Cluster,GMM_Cluster,DBSCAN_Cluster,Segment
12346,326,1,3691.7699999999995,0,803.90625,1,1,4,6,1,0,0,-1,At-Risk
12347,2,7,3691.7699999999995,365,615.71,4,4,4,12,3,1,1,0,High-Value
12348,75,4,1797.24,282,449.31,2,3,4,9,0,0,0,0,Regular
12349,19,1,1757.55,0,803.90625,3,1,4,8,2,0,1,0,Occasional
12350,310,1,334.4,0,334.4,1,1,2,4,1,2,2,0,At-Risk
12352,36,8,2506.04,260,313.26,3,4,4,11,3,1,1,0,High-Value
12353,204,1,89.0,0,89.0,1,1,1,3,1,2,2,0,At-Risk
12354,232,1,1079.4,0,803.90625,1,1,3,5,1,2,2,0,At-Risk
12355,214,1,459.4,0,459.4,1,1,2,4,1,2,2,0,At-Risk
12356,23,3,2811.43,302,803.90625,3,3,4,10,0,1,1,0,Regular
12357,33,1,3691.7699999999995,0,803.90625,3,1,4,8,0,1,0,0,Regular
12358,2,2,1168.06,149,584.03,4,2,3,9,2,0,3,0,Occasional
12359,58,4,3691.7699999999995,274,803.90625,2,3,4,9,0,1,0,0,Regular
12360,52,3,2662.06,148,803.90625,2,3,4,9,0,1,0,0,Regular
12361,287,1,189.9,0,189.9,1,1,1,3,1,2,2,0,At-Risk
12362,3,10,3691.7699999999995,292,522.62,4,4,4,12,3,3,1,0,High-Value
12363,110,2,552.0,132,276.0,2,2,2,6,2,2,3,0,Occasional
12364,8,4,1313.1,104,328.28,4,3,3,10,0,0,1,0,Regular
12365,291,2,641.38,0,320.69,1,2,2,5,1,2,0,0,At-Risk
12367,4,1,168.9,0,168.9,4,1,1,6,2,0,2,0,Occasional
12370,51,4,3541.94,309,803.90625,3,3,4,10,0,1,0,0,Regular
12371,45,2,1887.96,14,803.90625,3,2,4,9,0,0,0,0,Regular
12372,72,3,1298.04,224,432.68,2,3,3,8,2,0,3,0,Occasional
12373,311,1,364.6,0,364.6,1,1,2,4,1,2,2,0,At-Risk
12374,25,1,742.9300000000001,0,742.93,3,1,3,7,2,0,2,0,Occasional
12375,11,2,457.5,87,228.75,4,2,2,8,2,0,3,0,Occasional
12377,315,2,1628.12,39,803.90625,1,2,3,6,1,2,0,0,At-Risk
12378,130,1,3691.7699999999995,0,803.90625,2,1,4,7,0,1,0,0,Regular
12379,82,2,852.24,88,426.12,2,2,3,7,2,0,3,0,Occasional
12380,22,4,2724.81,164,681.2,3,3,4,10,0,1,1,0,Regular
12381,5,5,1845.31,115,369.06,4,3,4,11,0,1,1,0,Regular
12383,185,5,1850.56,167,370.11,1,3,4,8,0,0,0,0,Regular
12384,29,2,585.27,92,292.64,3,2,2,7,2,0,3,0,Occasional
12386,328,2,401.9,29,200.95,1,2,2,5,1,2,0,0,At-Risk
12388,16,6,2780.66,311,463.44,4,4,4,12,0,1,1,0,Regular
12390,80,1,549.84,0,549.84,2,1,2,5,2,0,2,0,Occasional
12391,22,1,439.66,0,439.66,3,1,2,6,2,0,2,0,Occasional
12393,72,4,1582.6000000000001,260,395.65,2,3,3,8,0,0,0,0,Regular
12394,64,2,1272.48,153,636.24,2,2,3,7,2,0,3,0,Occasional
12395,19,11,3018.63,351,251.55,3,4,4,11,3,3,1,0,High-Value
12397,36,2,2409.9,99,803.90625,3,2,4,9,0,0,1,0,Regular
12398,46,1,1635.6599999999999,0,803.90625,3,1,3,7,2,0,0,0,Occasional
12399,119,4,1108.65,142,277.16,2,3,3,8,2,0,0,0,Occasional
12401,303,1,84.3,0,84.3,1,1,1,3,1,2,2,0,At-Risk
12402,323,1,225.6,0,225.6,1,1,1,3,1,2,2,0,At-Risk
12403,50,1,427.7,0,427.7,3,1,2,6,2,0,2,0,Occasional
12405,149,1,1710.39,0,803.90625,1,1,4,6,2,0,0,0,Occasional
12406,22,2,3415.3,161,803.90625,3,2,4,9,0,1,0,0,Regular
12407,50,5,1708.1200000000001,214,341.62,3,3,4,10,0,1,0,0,Regular
12408,33,5,2888.55,227,577.71,3,3,4,10,0,1,1,0,Regular
12409,79,3,3691.7699999999995,103,803.90625,2,3,4,9,0,1,0,0,Regular
12410,309,2,693.3299999999999,0,346.66,1,2,3,6,1,2,0,0,At-Risk
12412,75,3,1226.88,94,408.96,2,3,3,8,2,0,3,0,Occasional
12413,67,3,758.1,270,252.7,2,3,3,8,2,0,3,0,Occasional
12414,217,3,562.41,93,187.47,1,3,2,6,1,2,0,0,At-Risk
12415,24,11,3691.7699999999995,313,803.90625,3,4,4,11,3,3,1,0,High-Value
12417,3,9,3649.1,354,405.46,4,4,4,12,3,1,1,0,High-Value
12418,113,1,668.58,0,668.58,2,1,3,6,2,2,2,0,Occasional
12420,64,1,600.39,0,600.39,2,1,2,5,2,0,2,0,Occasional
12421,16,4,807.04,303,201.76,4,3,3,10,2,0,3,0,Occasional
12422,96,3,803.5600000000001,229,267.85,2,3,3,8,2,0,3,0,Occasional
12423,1,8,1859.31,352,232.41,4,4,4,12,0,1,1,0,Regular
12424,163,2,1760.96,0,803.90625,1,2,4,7,1,0,0,0,At-Risk
12425,78,1,777.2,0,777.2,2,1,3,6,2,0,2,0,Occasional
12426,195,1,582.73,0,582.73,1,1,2,4,1,2,2,0,At-Risk
12427,22,3,825.8,349,275.27,3,3,3,9,2,0,3,0,Occasional
12428,26,9,3691.7699999999995,257,803.90625,3,4,4,11,3,1,1,0,High-Value
12429,9,4,3691.7699999999995,356,803.90625,4,3,4,11,0,1,1,0,Regular
12430,43,1,256.4,0,256.4,3,1,1,5,2,0,2,0,Occasional
12431,36,11,3691.7699999999995,338,428.0,3,4,4,11,3,3,1,0,High-Value
12432,43,5,3691.7699999999995,129,803.90625,3,3,4,10,0,1,0,0,Regular
